title_english,title_nepali,author_profile_link,author_name,Audiobook,E-book,Paperback,Hardcover,publisher_profile_link,publisher_name,genre,published_date,edition,isbn10,isbn13,pages,weight,language
Manis Nai Devata,मानिस नै देवता,https://www.thuprai.com/author/lalita-doshi/,Lalita Doshi,,,95,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Story for Children,,1,9993305197,9789993305194,36,,Nepali
Aashaka Rangharu,आशाका रङहरू,https://www.thuprai.com/author/aasha-limbu/,Aasha Limbu,,75,250,,https://www.thuprai.com/publisher/samakalin-literary-academy/,"Samakalin Literary Academy, UK",Poetry,May 2018,2,9937027357,9789937027359,,,Nepali
Sukaraat ko Diary,सुकरातको डायरी,https://www.thuprai.com/author/govinda-raj-bhattarai/,Govinda Raj Bhattarai,,,350,,https://www.thuprai.com/publisher/oriental-publication/,Oriental Publication,Novels,,,9937850088,9789937850087,326,350 g,Nepali
Kamila Haru,कमिलाहरू,https://www.thuprai.com/author/melvin-and-gilda-berger/,Melvin And Gilda Berger,,,105,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,Children,,,,,,,Nepali
Antim Satyako Khoji - Aatmakatha,अन्तिम सत्यको खोजी - आत्मकथा,https://www.thuprai.com/author/mahatma-gandhi/,Mahatma Gandhi,,,450,,https://www.thuprai.com/publisher/bn-pustak-sansar/,BN Pustak Sansar,Autobiography,,5,9937543835,9789937543835,420,400 g,Nepali
Manav,मानव,https://www.thuprai.com/author/modnath-prashrit/,Modnath Prashrit,,,300,,https://www.thuprai.com/publisher/oriental-publication/,Oriental Publication,Epic,,,9937593425,9789937593427,256,265 g,Nepali
Pralaya Prarambha,प्रलय प्रारम्भ,https://www.thuprai.com/author/deva-prakash-tripathi/,Deva Prakash Tripathi,,,250,,https://www.thuprai.com/publisher/himalaya_book_stall/,Himalaya Book Stall,"Contemporary Fiction,Science Fiction",2012,,9937819814,9789937819817,184,,Nepali
Nepali Poets and Poems in UK,बेलायतमा नेपाली कवि र कविता,https://www.thuprai.com/author/dubasu-chhetri/,Dubasu Chhetri,,,450,,https://www.thuprai.com/publisher/sajha-prakashan/,Sajha Prakashan,Poetry Anthology,,1,9937323274,9789937323277,335,,Nepali
Biswako Itihash,विश्वको इतिहास,https://www.thuprai.com/author/shri-ram-prasad-upadhyay/,Shreeramprasad Upadhyay,,,595,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,History,,,9993306037,9789993306030,294,300 g,Nepali
Sajha Kabita,साझा कविता,https://www.thuprai.com/author/chudamani-bandhu/,Chudamani Bandhu,,,300,,https://www.thuprai.com/publisher/sajha-prakashan/,Sajha Prakashan,Poetry,,,9993328936,9789993328933,,,Nepali
Filingo,फिलिङ्गो,https://www.thuprai.com/author/prava-baral/,Prava Baral,,,550,,https://www.thuprai.com/publisher/akshar-creations/,Akshar Creations,Novels,"March 26, 2021",1,9937945100,9789937945103,308,,Nepali
Aafno Kavita Aafnai Aawaj - Bairagi Kainla,आफ्नो कविता आफ्नै आवाज - बैरागी काइँला,https://www.thuprai.com/author/bairagi-kainla/,Bairagi Kainla,100,,,,https://www.thuprai.com/publisher/drishya/,Drishya,Poetry,,,,,,,Nepali
Nepali Murtikala,नेपाली मूर्तिकला,https://www.thuprai.com/author/mohan-prasad-khanal/,Mohan Prasad Khanal,,,325,,https://www.thuprai.com/publisher/vidyarthi-pustak-bhandar/,Vidyarthi Pustak Bhandar,Architecture,,2,9937699134,9789937699136,,,Nepali
GaurikaKo Sahashik Yatra,गौरिकाको साहसिक यात्रा,https://www.thuprai.com/author/dr-bimal-subedi/,Dr. Bimal Subedi,,,210,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,Picturebook for Children,"July 01, 2023",1,,,71,,Nepali
Baam Pudkeko Desh,बामपुड्केको देश,https://www.thuprai.com/author/jonathan-swift/,Jonathan Swift,,,52,,https://www.thuprai.com/publisher/sajha-prakashan/,Sajha Prakashan,Story for Children,,,9937320372,9789937320375,,,Nepali
Kahani Samagra,कहानी समग्र: अन्तरे जन्तरे,https://www.thuprai.com/author/bhim-nidhi-tiwari/,Bhimnidhi Tiwari,,,425,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Fiction,,,,,,,Nepali
Myau Myau Biralo,म्याऊँ म्याऊँ बिरालो,https://www.thuprai.com/author/binaya-kasaju/,Binay Kasajoo,,,250,,https://www.thuprai.com/publisher/bibek-sirjanshil-publication/,Bibek Sirjanshil Publication,Picturebook for Children,,,,,,,Nepali
Jharanako Geet,झरनाको गीत,https://www.thuprai.com/author/hari-khanal/,Hari Khanal,,,60,,https://www.thuprai.com/publisher/bhundipuran_prakashan/,Bhundipuran Prakashan,Story for Children,,,,,,,Nepali
Badal Paari,बादल पारि,https://www.thuprai.com/author/sudha-risal-sharma/,Sudha Risal Sharma,,,100,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,Children,,,9937515181,9789937515184,,,Nepali
Cyberlaw and Internet Crimes,साइबर कानून र इन्टरनेट अपराध,https://www.thuprai.com/author/drshree-krishna-bhattarai/,Dr.Shree Krishna Bhattarai,,,575,,,,Law and Legal System,"July 20, 2024",,9937169380,9789937169387,,,Nepali
Ughrido Akash,उघिदो आकास,https://www.thuprai.com/author/charkhole-shishir/,Charkhole Shishir,,,300,,https://www.thuprai.com/publisher/oriental-publication/,Oriental Publication,Novels,,,9937593948,9789937593946,,,Nepali
AtmakathaDr Rajendra Prasad,आत्मकथा: डा.राजेन्द्रप्रसाद,https://www.thuprai.com/author/shyam-pradhan/,Shyam Pradhan,,,575,,https://www.thuprai.com/publisher/oriental-publication/,Oriental Publication,Biography,,,,,,0.4 g,Nepali
Dhananjaya,धनन्जय,https://www.thuprai.com/author/bhuwan-hari-sigdel/,Bhuwan Hari Sigdel,,,375,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Novels,,1,9937708303,9789937708302,235,200 g,Nepali
Manav,मानव,https://www.thuprai.com/author/modnath-prashrit/,Modnath Prashrit,,,300,,https://www.thuprai.com/publisher/oriental-publication/,Oriental Publication,Epic,,,9937593425,9789937593427,256,265 g,Nepali
Muniya Rani: Gijubhai ka Chuniyeka Baal Katha,मुनिया रानी : गिजुभाईका चुनिएका बालकथा,https://www.thuprai.com/author/gijubhai/,Gijubhai Badheka,,,208,,https://www.thuprai.com/publisher/bn-pustak-sansar/,BN Pustak Sansar,Children,,,,,,100 g,Nepali
Khurmi,खुर्मी,https://www.thuprai.com/author/khusendra-rai/,Khusendra Rai,,,300,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Fiction,,1st,9937708877,9789937708876,158,110 g,Nepali
